UID,Name of Industrial Estate,District,Name of allootte Unit,Plot Number,Sector,Area at the time of allotment in Sq. Mtr.,Area at the time of Possession in Sq. Mtr.,Geometric Area,Constitution of Organization (Limited,Nature of Project,Proposed Product,PCB Category,Plot Status ,Proposed Investment (in cr.),Proposed Employment at time of allotment,Employment UK,email ID,Contact Number,Date of Allotment,Lease Deed,Lease Deed Date,Possession,Possession Date,Comment,Plot Status Date,Occupancy Certificate,Time Extension1,Time Extension1 Date,Time Extension Last,Time Extension Last Date,Land Use,Land Cost (per sq.m.),Maintenance cost towards common services (cost paid),Ref. No. - Layout Plan Approval from SIDA,Ref. No.- Building Plan Approval from SIDA,Whether industry is through FDI,Registration for SSI / EM1 / EM2 / UAM / IEM / SIA (Please select any one option),SSI / EM1 / EM2 / UAM / IEM / SIA,Subsidy From State Govt (Nil in case of No Subsidy) (in cr.),Policy under which the unit is established,Provide the name of Other Policy,NIC 5 Digit Code (as per NIC Code 2008),Women Entrepreneur,Electricity Connection,Electricity Supplier,Backup Electricity,Diesel Generator,CETP Connection,Water Connectiopn,Source of Water ,Time of Water Supply,Solid Waste Collection ,Time of Solid Waste Collection,Solar Panel,Rain Water Hasrvesting,Parking,Energy efficient fixtures,Energy Management Systems,Incubation Centre Provided,Warehouse ,Green Building,Gas Pipeline,Fire Extinguishing System,OH&S,Regulatory Authority (Property),Property Tax Payable,Regulatory AuthorityWater,Water Tax Payable,Regulatory Authority Environmental,Environmentall/Pollution Tax Payable,Total Tax payable (Rs.),Expenditure of Industry (p.a.)(Rs.),Revenue from Plots (p.a.)(Rs.),Permanent Male Employees,Permanent Female Employees,Permanent Total Employees,Contractual Male Employees,Contractual Female Employees,Contractual Total Employees,Differentally Abbled Employee,Skilled Male Employees,Skilled Female Employees,Skilled Total Employees,Semi-Skilled Male Employees,Semi-Skilled Female Employees,Semi-Skilled Total Employees,Unskilled Male Employees,Unskilled Female Employees,Unskilled Total Employees,Local Resident Male Employees,Local Resident Female Employees,Local Resident Total Employees,"Programme for skill training of employees. (Programme name, number of people trained, Month and Year of training","Harassment Prevention and Redressal (Harassment redressal team,","Sexual harassment redressal team, transport provision for women)","Community Dialogue (Website, Media Release, News Bulletin, Social Media, Other)","Community services such as drinking water supply, water harvesting, health camps etc.","Outreach activities: CSR Activities/ Clean up drives, health camp, public service activities etc.",Pollution Clearance,Date of pollution clearance taken by industry,Date of expiry of pollution clearance,Type of Emission,Air pollution- emission quality data,Reduction of Emission-Measures taken and compliance for air pollution control,"Air pollution monitoring system (online and offline monitoring, lab facilities, data display","facilities, data reporting systems )",Noise pollution data (as per regulatory authority),Whether EIA needed and done?,ISO Certification,"Green Building Certification IGBC, BREEA, LEED, DGNB)",Pre-assessment for Gold Rating,"Design of building (Passive Design, Building Orientation)",Record of major trees within plot,Any green measures taken up by industry,Incentives/ grants for greening industry/ resource efficiency etc.,Any National/ International Certification,(Mention Year of Certification),Property Tax payable (in Rs.),Regulatory Authority(property)
BD1_1_C8,SIDC Bhadrabad Site I,Haridwar,M/S VAIBHAV ISPAT PVT. LTD.,C8,1,4050,4050,4320.11,Company Pvt. Ltd.,Export Oriented,M.S. INGOTS,RED,Others,2.3,50,0,0,9927063555,20-Mar-89,Yes,27-Feb-06,Yes,2-Mar-06,Persently in Production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_C9,SIDC Bhadrabad Site I,Haridwar,Makino Automotive,C9,1,583,,3933.12,Proprietor,Export Oriented,,N.A,In Production,,,0,,,1-Jan-00,,,,,,,,,,,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D1,SIDC Bhadrabad Site I,Haridwar,Makino Automotive,D1,1,2080.33,2080.33,2300.11,Partnership,Auto & Auto Components,Automotive Components,Orange,In Production,2.77,100,71,makino3@makinoindia.com,9219406089,17-Mar-89,Yes,24-Jan-07,Yes,24-Jan-07,,1-Jul-07,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D10,SIDC Bhadrabad Site I,Haridwar,M/S DEVBHOOMI STEEL P LTD.,D10,1,5861,5861,2647.32,Company Pvt. Ltd.,Other,Induction Furnace,Orange,Others,4.05,29,15,-,9897480000,14-Dec-89,Yes,1-Jun-04,Yes,31-Mar-05,production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D11,SIDC Bhadrabad Site I,Haridwar,-,D11,,,,4713.37,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D-12,SIDC Bhadrabad Site I,Haridwar,M S MAX MOBLE PHONES,D-12,1,3044,3044,3201.93,Company Pvt. Ltd.,Other,Mobile Phone Parts& Accessories,Orange,Others,9.72,50,0,info@maxxmobile.in,223366222,28-Sep-06,Yes,9-Oct-06,Yes,15-Nov-06,as on date they are in production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D-13,SIDC Bhadrabad Site I,Haridwar,Amphi Plasto,D-13,1,1800,1800,2294.17,Partnership,Electrical Equipment,Electrical equipment,Orange,In Production,28.89,0,0,ambhiplasto2016@gmail.com,9319418252,10-Apr-07,Yes,17-Apr-07,Yes,18-Apr-07,,21-Apr-07,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D14,SIDC Bhadrabad Site I,Haridwar,M/S ANCHOR ELECTRICALS P. LTD.,D14,1,1800,1800,1793.35,Company Pvt. Ltd.,Electrical Equipment,"Electrical Product, Switch, Socket, Plug",Orange,In Production,10.11,96,-,-,133432599,10-Apr-07,Yes,17-Apr-07,Yes,18-Apr-07,,11-May-07,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D15,SIDC Bhadrabad Site I,Haridwar,M/s Nagode International Pvt Ltd,D15,1,1800,1800,1988.06,Company Pvt. Ltd.,Other,Tissu Paper Product,Green,In Production,7.65,80,-,hipl@hiplproduct.com,112922472,21-Apr-07,Yes,14-May-07,Yes,28-Aug-07,,24-Dec-07,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D16,SIDC Bhadrabad Site I,Haridwar,M/S GANPATI TRADERS P. LTD.,D16,1,2332,2332,2266.18,Company Pvt. Ltd.,Other,Bread,Orange,Others,0.31,62,30,cmdoffice@ckjpearl.com,-,12-Sep-84,Yes,25-Jun-96,No,,production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D17,SIDC Bhadrabad Site I,Haridwar,M/S JAI GANESH ENG. INDU,D17,1,1800,1800,1559.74,Partnership,Export Oriented,machining & Fabrication,Orange,Others,1.69,0,0,jgeihwr@gmail.com,0,28-Aug-92,Select,4-Jan-12,No,,Persently in Production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D18,SIDC Bhadrabad Site I,Haridwar,Jai Ganesh Eng. Industries,D18,1,1800,1800,1438.51,Partnership,Engineering Activities,Machining & Fabrication,White,Others,1.69,35,25,jgeihwr@gmail.com,9837067237,24-Dec-11,Yes,12-Jan-12,No,,As on date under production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D19,SIDC Bhadrabad Site I,Haridwar,SH SHIV CHANDTA YADAV,D19,1,1800,1800,1386.41,Proprietor,Export Oriented,Control Lable & Auto Engg. Component,Orange,Others,2,55,25,kalpa.industries@hotmail.com,9313836723,12-Dec-86,Yes,10-Oct-05,No,,production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D2,SIDC Bhadrabad Site I,Haridwar,Makino Automotive,D2,1,1881.75,,2218.87,Proprietor,Export Oriented,,N.A,In Production,,,0,,,1-Jan-00,,28-Apr-06,,,,,,,,,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D20,SIDC Bhadrabad Site I,Haridwar,MiS BRAHMA AUTO INDU P. LTD.,D20,1,1000,1000,1450.32,Company Pvt. Ltd.,Other,"Plastic Moulded, Metal Component, Wire & Wire Assembling",Orange,Others,1.5,50,20,baipl@email.com,0124-42660,28-Aug-87,Select,23-Feb-10,Yes,23-Feb-10,production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D21,SIDC Bhadrabad Site I,Haridwar,M/S Driplex Water Engineering International Pvt. Ltd.,D21,1,1800,1800,1342.63,Company Pvt. Ltd.,Other,Different Type of Water Treatment Plant,Green,Others,2,60,-,dwel@driplexwater.com,-,20-Oct-92,Yes,14-Mar-08,Yes,14-Mar-08,Production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D22,SIDC Bhadrabad Site I,Haridwar,M/S SOW PACK,D22,1,1800,1800,2036.81,Partnership,Other,Plastic Disposable Items,Orange,Others,0.9,60,35,snowpackrp@yahoo.com,01334-2321,20-Dec-88,Yes,3-Jul-09,Yes,3-Jul-09,production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D23,SIDC Bhadrabad Site I,Haridwar,M/S SNOW PACK,D23,1,1800,1800,1728.95,Partnership,Export Oriented,Plastic Disposable items,Orange,Others,0.9,60,0,snowpackrp@yahoo.com,1334232155,15-Mar-89,Yes,26-Dec-08,Yes,26-Dec-08,Persently in Production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D24,SIDC Bhadrabad Site I,Haridwar,SH SANJAY JAIN,D24,1,2945,2945,2725.67,Proprietor,Fabricated Metal Products,Machining & Job Work,White,In Production,15,12,0,bhartiyaelecmech@yahoo.in,1334230393,2-Jan-85,Yes,22-Jul-98,Yes,30-Jun-87,,1-Apr-90,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D-25,SIDC Bhadrabad Site I,Haridwar,SH. SANJAY JAIN,D-25,1,3560,3560,1355.32,Partnership,Plastic items,Plastic Products,Orange,In Production,0.22,15,0,0,0,26-Nov-02,Yes,26-Dec-02,Yes,27-Feb-03,,1-Jan-05,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D26,SIDC Bhadrabad Site I,Haridwar,SH. MANMOHAN GUPTA,D26,1,1773,1773,2113.03,Proprietor,Other,Steel Tubular Poles,Orange,Others,1.05,25,-,-,9837036936,8-Nov-94,Yes,15-Sep-04,Yes,15-Sep-04,Production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D27,SIDC Bhadrabad Site I,Haridwar,SH MANMOHAN GUPTA,D27,1,1777,1777,1960.07,Proprietor,Other,Tublar Pole,Orange,Others,0.45,20,0,0,9837036936,22-May-02,Yes,15-Sep-04,Yes,15-Sep-04,as on date they are in production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D28,SIDC Bhadrabad Site I,Haridwar,SH RAKESH KUMAR GUPTA,D28,1,1783,1783,1717.79,Proprietor,Other,Fabrication Job Work,Orange,In Production,0.15,15,8,-,01334-2258,1-Feb-88,Select,10-Oct-05,No,,production,24-Aug-05,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D29,SIDC Bhadrabad Site I,Haridwar,SMT ASH GUPTA,D29,1,1787,1787,1951.72,Proprietor,Other,corrugated boxes,Orange,Others,0.12,8,5,-,-,19-Sep-88,Yes,13-Nov-06,Yes,17-Oct-02,production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D3,SIDC Bhadrabad Site I,Haridwar,Makino Automotive,D3,1,1881.74,1881.74,2525.12,Partnership,Auto & Auto Components,Auto Components,Orange,Under Construction,4.27,85,60,vp.singh@makino.in,9837003533,14-Nov-00,Yes,6-Nov-07,Yes,6-Nov-18,,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D30,SIDC Bhadrabad Site I,Haridwar,M/S VISION METAL AIDS P. LTD.,D30,1,1794,1794,2197.01,Company Pvt. Ltd.,Other,Sleeves & Foundry Fluxes,Orange,Others,0.12,10,6,visionmetal2000@yahoo.com,-,2-Mar-95,Select,28-Jan-97,Yes,27-Apr-95,Persently in Production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D31,SIDC Bhadrabad Site I,Haridwar,M/S SIDHAMETAL P. LTD.,D31,1,1823,1823,1627.43,Company Public Ltd.,Other,Foundry Fluxes,RED,Others,0.2,10,-,thesidhametals@yahoo.com,-,6-Feb-89,Yes,29-Apr-91,Yes,15-Jan-90,production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D32,SIDC Bhadrabad Site I,Haridwar,M/S GANGA EXTNTION OVT. LTD.,D32,1,1883,1883,2606.48,Company Pvt. Ltd.,Other,Aluminium Extrusion,Orange,Others,0.41,21,15,gext@rediffmail.com,01334-3240,23-Dec-94,Yes,30-Mar-05,Yes,30-Mar-05,production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D33,SIDC Bhadrabad Site I,Haridwar,M/s A one hosiery and dying mills,D33,1,1800,1800,1474.04,Partnership,Other,hosiery goods & dying mills,RED,Others,0.1,9,0,0,9897146918,27-Dec-89,Yes,2-Jul-90,Yes,16-Jan-90,Persently in Production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D-34,SIDC Bhadrabad Site I,Haridwar,M/s Hish Tech India,D-34,1,1800,1800,1518.4,Proprietor,Engineering Activities,Steel Conduct pipe & Fabrication,Orange,Others,0.9,20,0,0,9917135566,10-Nov-06,Yes,28-Nov-06,Yes,21-Dec-06,closed as on date,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D35,SIDC Bhadrabad Site I,Haridwar,SMT MANJU GUPTA,D35,1,1883,1883,1748.27,Proprietor,Other,printing press,Orange,Others,0.1,26,20,-,9412001826,20-Nov-85,No,2-Jun-09,Yes,27-Nov-85,closed,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D36,SIDC Bhadrabad Site I,Haridwar,M/S B.V.C. ENTERPRISES,D36,1,1800,1800,1811.44,Partnership,Export Oriented,Engineering Works & Fabrications,Orange,Others,0.3,8,-,-,-,24-Aug-91,Yes,9-Dec-04,Yes,9-Dec-04,production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D37,SIDC Bhadrabad Site I,Haridwar,M/S AROSON PLASTIC P. LTD.,D37,1,1800,1800,1612.36,Company Pvt. Ltd.,Export Oriented,C.F.L. Plastic Moulded Items,Orange,In Production,-,-,-,mailbox@arosonplastics.com,9219423772,16-Mar-92,Yes,29-Apr-07,Yes,29-Mar-07,,28-Jun-07,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D38,SIDC Bhadrabad Site I,Haridwar,SH. JAGAT BHUSAN GUPTA,D38,1,3491,3491,2480.93,Proprietor,Other,PP Caps & Rubber Stopper,Orange,In Production,0.97,11,-,-,-,17-Oct-00,Yes,28-Sep-04,Yes,28-Feb-01,,28-Dec-04,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D4,SIDC Bhadrabad Site I,Haridwar,M/s Mahalaxmi Concast Pvt. Ltd.,D4,1,1881.74,,3152.75,Proprietor,Export Oriented,,N.A,In Production,,,0,,,1-Jan-00,,24-Jun-09,,,,,,,,,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_D5,SIDC Bhadrabad Site I,Haridwar,Mahalaxmi Concast Pvt. Ltd.,D5,1,1881.74,,2451.44,Proprietor,Export Oriented,,N.A,In Production,,,0,,,1-Jan-00,,12-Sep-11,,,,,,,,,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
